,FECHA,FOLIO,PROVEEDOR,DESCRIPCION,TIPO GASTO,IMPORTE,IVA,TOTAL MX
0,2021-01-01,0001010100750847116902,"BANCO NACIONAL DE MEXICO, S.A.",COMISION COBRADA,COMISION BANCARIA,0.0,601.2,2248.28
1,2021-01-01,0001010100752163714102,"BANCO NACIONAL DE MEXICO, S.A.",COMISION COBRADA,COMISION BANCARIA,490.0,78.4,568.4
2,2021-01-01,19788,"ELECTRONICOS Y SIMILARES, S.A. DE C.V.",MOTO E7 PLUS AZUL 64GB 4RAM,COMPRAS,195.0,31.2,226.2
3,2021-01-01,211781,BEPENSA LEASING S.A. DE C.V.,AA RENTA EXIGIBLE CL0000006876 6/36 de 03/12/2020 a 02/01/2021,ARRENDAMIENTO FINANCIERO,4319.1,601.2,4805.3
4,2021-01-01,211782,BEPENSA LEASING S.A. DE C.V.,AA RENTA EXIGIBLE CL0000006877 6/36 de 03/12/2020 a 02/01/2021,ARRENDAMIENTO FINANCIERO,0.0,0.0,0.0
5,2021-01-01,4101,ELECTROTERMICA NACIONAL SA DE CV,Pago,COMPRAS,0.0,0.0,0.0
6,2021-01-01,32322,"AESA ARTICULOS ELECTRICOS, S.A. DE C.V.",Pago,COMPRAS,4319.1,601.2,4805.3
7,2021-01-01,9231013,Servicios Comerciales Amazon México S. de R.L. de C.V.,"Pagani, Coche de Control Remoto Escala 1:24, Con batería Recargable Vehicle, colorRojo",NO DEDUCIBLE,4319.1,601.2,4805.3
8,2021-01-01,9231022,Servicios Comerciales Amazon México S. de R.L. de C.V.,"Strathmore Libreta para Aprender a Dibujar Animales STR-025-050, Serie de Aprendizaje, 22.8 x 30.5 cm.",NO DEDUCIBLE,0.01,0.0,0.01
9,2021-01-01,9231026,Servicios Comerciales Amazon México S. de R.L. de C.V.,ENCORDADURA DADDARIO MOD. J-810 4/4M,NO DEDUCIBLE,0.0,0.0,0.0
10,2021-01-01,1747,DELIVERYMAIL S.A. DE C.V.,Pago,PAQUETERIA,4371.72,699.48,5071.200000000001
11,2021-01-01,147,JORGE LUIS GARCIA TRUJILLO,Pago,COMPRAS,159.48,25.52,185.0
12,2021-01-01,2798,BENJAMÍN MAYA MONDRAGÓN,Pago,COMPRAS,480.0,76.8,556.8
13,2021-01-01,2801,BENJAMÍN MAYA MONDRAGÓN,Pago,COMPRAS,2500.0,400.0,2900.0
14,2021-01-01,935,MARISOL MENDOZA CHAVEZ,Pago,COMPRAS,88.44,14.15,102.59
15,2021-01-01,2693,MR MULTISERVICIOS INDUSTRIALES SA DE CV,Pago,COMPRAS,5344.76,855.16,6199.92
16,2021-01-01,4946,WILCON INGENIERIA Y DIBUJO SA DE CV,Pago,COMPRAS,5152.17,824.35,5976.52
17,2021-01-01,605547,"ASPEL DE MEXICO, SA DE CV",Suscripción ASPEL-NOI Mensual 1 Usr(s),MTTO COMPUTO,0.0,0.0,0.0
18,2021-01-01,108830,BEPENSA LEASING S.A. DE C.V.,Pago,ARRENDAMIENTO FINANCIERO,0.0,0.0,0.0
19,2021-01-01,108831,BEPENSA LEASING S.A. DE C.V.,Pago,ARRENDAMIENTO FINANCIERO,0.0,0.0,0.0
20,2021-01-01,2271,COMERCIALIZADORA ELECTRICA INDUSTRIAL VAZQUEZ SA DE CV,Pago,COMPRAS,674.62,124.37,798.99
21,2021-01-01,2272,COMERCIALIZADORA ELECTRICA INDUSTRIAL VAZQUEZ SA DE CV,Pago,COMPRAS,752.43,146.57,899.0
22,2021-01-01,22020120028311,"INTERCAM FONDOS, S.A. DE C.V. SOCIEDAD OPERADORA DE FONDOS DE INVERSION INTERCAM GRUPO FINANCIERO",Comisiones y Otros Cargos,COMISION BANCARIA,674.62,124.37,798.99
23,2021-01-01,40623611,EVO PAYMENTS MEXICO S. DE R. L. DE C.V.,COBRO COMIS TAR DEBIT A NOM EVOPAYMX,COMISION BANCARIA,674.62,124.37,798.99
24,2021-01-01,25921,"PRODUCTOS POLIMEX, S.A. DE C.V.",RESISTENCIA CAC DE ALTA DE 120W/230V,COMPRAS,2750.0,396.0,3146.0
25,2021-01-01,XXXX,TELEFONOS DE MEXICO S.A.B. DE C.V.,Servicios de Telecomunicaciones,TELEFONO,256.0,40.96,296.96
26,2021-01-01,XXXX,TELEFONOS DE MEXICO S.A.B. DE C.V.,Servicios de Telecomunicaciones,TELEFONO,282.0,45.12,327.12
27,2021-01-01,4329,SANJUANA VARGAS ALMANZA,Pago,COMPRAS,4319.1,476.55,4805.3
28,2021-01-01,69490,"AESA ARTICULOS ELECTRICOS, S.A. DE C.V.",CONTACTO METALICO INDUSTRIAL,COMPRAS,500.0,80.0,580.0
29,2021-01-01,608511,"ASPEL DE MEXICO, SA DE CV",Suscripción ASPEL-BANCO Mensual 2 Usr(s),MTTO COMPUTO,0.0,0.0,0.0
